rank,previous_rank,ranking_country,ranking_category,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
111,121,US,4437,,13-16 USD,0-5 Very low,0-5 Very low,2025-07-11,"shouwuhho 8 Pack Furniture Risers Adjustable Bed Risers Heavy Duty Lifts Height 1"", Square Stackable Bed Risers 1, 2 or 3 Inch for Desk Leg Table"
112,156,US,4437,The Container Store,30-30 USD,0-5 Very low,0-5 Very low,2025-07-11,The Container Store Wide Underbed Drawer
113,110,US,4437,,110-110 USD,0-5 Very low,0-5 Very low,2025-07-11,Queen/King T-Rail
114,87,US,4437,,99-99 USD,0-5 Very low,0-5 Very low,2025-07-11,Step2Bed Mini Bedside Safety Step Stool
115,113,US,4437,Glideaway,94-119 USD,0-5 Very low,0-5 Very low,2025-07-11,Glideaway Hospitality Bed X-Support System 3 Rails
116,107,US,4437,,60-61 USD,0-5 Very low,0-5 Very low,2025-07-11,"15 cm high furniture feet 20/25/30/35/40/45/50 cm | GRAZ | Furniture legs, cabinet feet, base feet for cabinets, couches, sofas, beds, or sideboards"
117,162,US,4437,POWERTEC,13-13 USD,0-5 Very low,0-5 Very low,2025-07-11,Powertec 71425 Surface Mounted Bed Rail Brackets Bed Frame Fasteners Hardware with Mounting Screws
118,173,US,4437,Kennedy International Inc.,23-23 USD,0-5 Very low,0-5 Very low,2025-07-11,Simplify 8 Piece Adjustable Bed Risers Set
119,86,US,4437,,17-17 USD,0-5 Very low,0-5 Very low,2025-07-11,Anti-slip Mattress Gasket 6 Pcs Metal Gasket Set to Keep Your Mattress in Place
120,,US,4437,,12-12 USD,0-5 Very low,,2025-07-11,Mattress Gaskets for Metal Bed Frame Non Slip Mattress Holder Mattress Stoppers to Prevent Sliding 6pcs Anti-Slip Baffle Extra Heavy Duty Mattress
121,,US,4437,Pelegon,,0-5 Very low,,2025-07-11,PELEGON Bed Rails for Elderly Adults Safety Adjustable Height Bed Assist Handle with Utility Bag
122,189,US,4437,,24-27 USD,0-5 Very low,0-5 Very low,2025-07-11,"Vekkia King Bed Wedge Pillow for Headboard Gap Filler(0-3.5""),High-Density Foam,Prevents Pillows & Items Loss,Ergonomic Design,Large Storage Pockets"
123,177,US,4437,,13-13 USD,0-5 Very low,0-5 Very low,2025-07-11,"2 Pcs Bed Frame Brackets Adapter for Headboard Extra, Heavy Duty Bed Modification Plate, Headboard Attachment Bracket with Hardware"
124,98,US,4437,,79-79 USD,0-5 Very low,0-5 Very low,2025-07-11,4-Piece Hook on Bed Frame Brackets with Hardware Hook Plate
125,137,US,4437,,9-9 USD,0-5 Very low,0-5 Very low,2025-07-11,"JJHXSM 2-Pack Iron Bed Frame Hooks, Nickel-Plated, 3.8x2.3x0.08 Inches, 11/32 Inch Mounting Hole, 2 Hooks Per Plate, Classic Style, Rust Resistant,"
126,105,US,4437,Rockler,15-20 USD,0-5 Very low,0-5 Very low,2025-07-11,"Rockler 5/8"" Heavy Duty Wrought Steel Bed Rail Fasteners"
127,129,US,4437,,9-9 USD,0-5 Very low,0-5 Very low,2025-07-11,College Dorm Bed Step (Foot Saver)
128,155,US,4437,,33-33 USD,0-5 Very low,0-5 Very low,2025-07-11,"BANBALOO | Bed Rails for Elderly Adults Safety | Bed Restraints Guard Rails for Adults and Seniors | King, Queen, Twin, Full Size and Adjustable"
129,104,US,4437,,20-21 USD,0-5 Very low,0-5 Very low,2025-07-11,"4 PCS Adjustable Height Center Support Leg for Bed Frame (6.5""-11""), Upgrade Under Bed Support Leg with Wider Base, Bed Center Slat/Furniture, Heavy"
130,130,US,4437,,8-8 USD,0-5 Very low,0-5 Very low,2025-07-11,Kings Brand Furniture Bed Frame Hardware Set Heavy Duty Hardware For Bed Frame To Attach Headboard & Footboard
131,182,US,4437,,15-15 USD,0-5 Very low,0-5 Very low,2025-07-11,Doublelife 2PCS Bed Risers Furniture Riser Heavy Duty Bed Lifts in Heights of 1.97Inches
132,101,US,4437,,26-28 USD,0-5 Very low,0-5 Very low,2025-07-11,Sephyroth Adjustable Bed Risers Furniture Risers 4Pack with Screw Clamp.Table Desk Chair Risers.Bed Risers 4Inch Fit Furniture's Square/Round Leg
133,103,US,4437,,20-20 USD,0-5 Very low,0-5 Very low,2025-07-11,"8pcs Black Bed Risers Set Heavy Duty Lift Blocks Adjustable Height to 8, 5 or 3 Inch for Home Furniture Bed Couch Sofa Chair Table"
134,211,US,4437,Utopia Bedding,10-12 USD,0-5 Very low,0-5 Very low,2025-07-11,Utopia Bedding Bed Risers 3 Inch 8 Pack Round Furniture Risers with Top Anti-Slip Foam with Metal Plate & Bottom Rubber Pads
135,120,US,4437,Medline,46-70 USD,0-5 Very low,0-5 Very low,2025-07-11,Medline Rail Side Spring Loaded 4 Bar
136,163,US,4437,,26-26 USD,0-5 Very low,0-5 Very low,2025-07-11,"Sopicoz Wooden Furniture Risers 2 Inch Tapered Bed Risers Set of 6, Heavy Duty Wood Bed Lifts Risers for Table, Sofa, Couch, Desk, Dresser"
137,171,US,4437,,26-26 USD,0-5 Very low,0-5 Very low,2025-07-11,"KOXHERO Mattress Retainer Bar Bracket Holder 4Pcs - Keeps Mattress from Sliding on Platform, Adjustable & RV Beds"
138,135,US,4437,,27-27 USD,0-5 Very low,0-5 Very low,2025-07-11,Fexon Truck Bed Mounting Bolt Kit Replacement For Ford Ranger 1983-2011
139,153,US,4437,Premier 1 Supplies,52-52 USD,0-5 Very low,0-5 Very low,2025-07-11,Horned Milking Headpiece with Removable Tray from Premier 1
140,64,US,4437,,17-17 USD,0-5 Very low,0-5 Very low,2025-07-11,"Furniture Risers, Tclouda Bed/Sofa/Desk/Table/Chair Leg/Fridge Lifts to 1.5, 3 and 4 in, Rectangle Adjustable Risers Blocks for Extenders, Heavy"
141,146,US,4437,,300-300 USD,0-5 Very low,0-5 Very low,2025-07-11,"Oak Unfinished Solid Wood Library Attic,Furniture Ladder, Bunk Bed, Choose Size, Angle and material. 12D 16"" Wide. MD4"
142,208,US,4437,,19-22 USD,0-5 Very low,0-5 Very low,2025-07-11,Demiwise Heavy Duty Bed Risers Set of 4 Adjustable Furniture Risers Elevation Heights of 3
143,,US,4437,,10-10 USD,0-5 Very low,,2025-07-11,"Luyena Bed Sheet Straps,6 PCS Secure and Fitted Sheet Straps for Full Size Bed,Adjustable Sheet Clips Elastic Fasteners Holders for Corners,Enhance"
144,165,US,4437,,17-17 USD,0-5 Very low,0-5 Very low,2025-07-11,"Tie Down Anchors 4 Pcs Truck Bed Side Wall Anchor fit for 07 22 Chevy Silverado/Gmc Sierra,15 22 Chevy Colorado/Gmc Cany"
145,262,US,4437,Glideaway,70-70 USD,0-5 Very low,0-5 Very low,2025-07-11,Glideaway Q/K/CKG Frame with Glides
146,,US,4437,,33-33 USD,0-5 Very low,,2025-07-11,"ROYALAY Bed Divider for Co Sleeping Adults, Bed Bumpers, Bumper with Adjustable Strap, Rail Guard with Washable Cover Fit for Twin, Full, Queen,"
147,186,US,4437,Mainstays,,0-5 Very low,0-5 Very low,2025-07-11,Mainstays Home Management Tall Bed Risers Black 4-Pack
148,134,US,4437,,16-17 USD,0-5 Very low,0-5 Very low,2025-07-11,Kopkio 2 Pcs Bed Frame Brackets Adapter/Connector Heavy Duty Bed Modification Plate Brackets for Headboard
149,124,US,4437,,89-89 USD,0-5 Very low,0-5 Very low,2025-07-11,Adjustable Walnut Brown Bed Risers Furniture Risers
150,132,US,4437,Stander,35-40 USD,0-5 Very low,0-5 Very low,2025-07-11,Stander Recliner Risers
151,123,US,4437,,16-16 USD,0-5 Very low,0-5 Very low,2025-07-11,"House Gas Struts Gas Shock Lift Supports Gas Spring for Bed Cupboard Window (66lb, 15inch)"
152,174,US,4437,Tempur,24-24 USD,0-5 Very low,0-5 Very low,2025-07-11,Tempur-Pedic Universal Headboard Bracket Kit
153,116,US,4437,,180-180 USD,0-5 Very low,0-5 Very low,2025-07-11,"Wooden Bed Rails - Queen/King Bed Rails - 82"" Hook-On Wooden Side Rails - Cherry Finish - Replacement Bed Rails"
155,114,US,4437,,50-51 USD,0-5 Very low,0-5 Very low,2025-07-11,Black Adjustable Steel Headboard Bracket by YYBUSHER for All Bed Sizes
156,,US,4437,,10-10 USD,0-5 Very low,,2025-07-11,"24Pcs Furniture Wall Protectors, Headboard Pads EVA Foam Headboard Stoppers for Bed Stoppers Couch Wall Protector"
157,219,US,4437,,10-11 USD,0-5 Very low,0-5 Very low,2025-07-11,eve 6 in. Black Bed Risers
158,127,US,4437,,69-76 USD,0-5 Very low,0-5 Very low,2025-07-11,Heavy Duty Furniture Risers Elevator For Sofa ... MAXAYA
