rank,previous_rank,ranking_country,ranking_category,product_title_en,product_title_zh,product_title_any,brand,price_range,relative_demand,previous_relative_demand,rank_timestamp,product_title
15,26,US,537,,,Baby Diapers Huggies Little Snugglers,Huggies,10-55 USD,21-50 High,21-50 High,2025-07-11,Baby Diapers Huggies Little Snugglers
16,21,US,537,,,Pampers Baby Dry Diapers Size,Pampers,5-56 USD,21-50 High,21-50 High,2025-07-11,Pampers Baby Dry Diapers Size
17,17,US,537,,,Safety 1st Grow and Go Sprint All-in-One Convertible Car Seat,Safety 1st,98-139 USD,21-50 High,21-50 High,2025-07-11,Safety 1st Grow and Go Sprint All-in-One Convertible Car Seat
18,13,US,537,,,Bobbie Organic Original Infant Formula,Bobbie,25-25 USD,21-50 High,21-50 High,2025-07-11,Bobbie Organic Original Infant Formula
19,15,US,537,,,Huggies Little Swimmers Disposable Swim Diapers,Huggies,7-21 USD,21-50 High,21-50 High,2025-07-11,Huggies Little Swimmers Disposable Swim Diapers
20,32,US,537,,,Graco 4Ever DLX 4 in 1 Car Seat,Graco,230-300 USD,21-50 High,21-50 High,2025-07-11,Graco 4Ever DLX 4 in 1 Car Seat
21,35,US,537,,,Kendamil Infant Formula Powder,,34-36 USD,21-50 High,21-50 High,2025-07-11,Kendamil Infant Formula Powder
22,29,US,537,,,Evenflo Chase Plus 2-in-1 Booster Car Seat,Evenflo,35-50 USD,21-50 High,21-50 High,2025-07-11,Evenflo Chase Plus 2-in-1 Booster Car Seat
23,,US,537,,,Aquaphor Healing Advanced Therapy Ointment,Aquaphor,5-26 USD,21-50 High,,2025-07-11,Aquaphor Healing Advanced Therapy Ointment
24,24,US,537,,,Baby Diapers Huggies Little Movers,Huggies,10-1024 USD,21-50 High,21-50 High,2025-07-11,Baby Diapers Huggies Little Movers
25,81,US,537,,,Evenflo Pivot Modular Travel System with LiteMax Infant Car Seat,Evenflo,278-289 USD,21-50 High,11-20 Medium,2025-07-11,Evenflo Pivot Modular Travel System with LiteMax Infant Car Seat
26,28,US,537,,,Kendamil Goat Infant Powder Formula,,45-45 USD,21-50 High,21-50 High,2025-07-11,Kendamil Goat Infant Powder Formula
27,33,US,537,,,Pampers Baby Wipes Sensitive,Pampers,3-45 USD,21-50 High,21-50 High,2025-07-11,Pampers Baby Wipes Sensitive
28,49,US,537,,,Spectra S1 Plus Double Electric Breast Pump,Spectra,174-217 USD,21-50 High,21-50 High,2025-07-11,Spectra S1 Plus Double Electric Breast Pump
29,30,US,537,,,Skip Hop Explore & More Baby's View 3-Stage Activity Center,Skip Hop,142-150 USD,21-50 High,21-50 High,2025-07-11,Skip Hop Explore & More Baby's View 3-Stage Activity Center
30,43,US,537,,,Pampers Diapers Pure Protection,Pampers,10-73 USD,21-50 High,21-50 High,2025-07-11,Pampers Diapers Pure Protection
31,40,US,537,,,Huggies Snug Dry Baby Diapers,Huggies,6-74 USD,21-50 High,21-50 High,2025-07-11,Huggies Snug Dry Baby Diapers
32,42,US,537,,,Angelcare Baby Bath Support,Angelcare,20-23 USD,21-50 High,21-50 High,2025-07-11,Angelcare Baby Bath Support
33,38,US,537,,,Enfamil NeuroPro Gentlease Formula Powder,Enfamil,38-40 USD,21-50 High,21-50 High,2025-07-11,Enfamil NeuroPro Gentlease Formula Powder
34,143,US,537,,,Safety 1st Grow and Go All-in-One Convertible Car Seat,Safety 1st,112-160 USD,21-50 High,11-20 Medium,2025-07-11,Safety 1st Grow and Go All-in-One Convertible Car Seat
35,65,US,537,,,Nuna RAVA Convertible Car Seat,Nuna,510-680 USD,21-50 High,11-20 Medium,2025-07-11,Nuna RAVA Convertible Car Seat
36,,US,537,,,Fisher Price Laugh & Learn Mix & Learn DJ Table,Fisher-Price,50-50 USD,21-50 High,,2025-07-11,Fisher Price Laugh & Learn Mix & Learn DJ Table
37,31,US,537,,,Evenflo Maestro Sport Booster Car Seat,Evenflo,95-130 USD,21-50 High,21-50 High,2025-07-11,Evenflo Maestro Sport Booster Car Seat
38,39,US,537,,,Snuggle Me Infant Lounger,Snuggle Me,110-130 USD,21-50 High,21-50 High,2025-07-11,Snuggle Me Infant Lounger
39,,US,537,,,Baby Brezza Bottle Washer Pro,Baby Brezza,109-300 USD,21-50 High,,2025-07-11,Baby Brezza Bottle Washer Pro
40,63,US,537,,,Joie Nutmeg Travel System with Mint Infant Car Seat,Joie,460-460 USD,21-50 High,21-50 High,2025-07-11,Joie Nutmeg Travel System with Mint Infant Car Seat
41,,US,537,,,Graco Tranzitions 3-in-1 Harness Booster Car Seat,Graco,,21-50 High,,2025-07-11,Graco Tranzitions 3-in-1 Harness Booster Car Seat
42,52,US,537,,,Graco Verb Travel System,Graco,240-240 USD,21-50 High,21-50 High,2025-07-11,Graco Verb Travel System
43,46,US,537,,,Jeep Evolve Stroller Wagon by Delta Children,Jeep,250-250 USD,21-50 High,21-50 High,2025-07-11,Jeep Evolve Stroller Wagon by Delta Children
44,48,US,537,,,Boudreaux's Butt Paste Diaper Rash Maximum Strength,Boudreaux's Butt Paste,5-23 USD,21-50 High,21-50 High,2025-07-11,Boudreaux's Butt Paste Diaper Rash Maximum Strength
45,36,US,537,,,Ingenuity Keep Cozy 3-in-1 Grow with Me Baby Bouncer,Ingenuity,60-60 USD,21-50 High,21-50 High,2025-07-11,Ingenuity Keep Cozy 3-in-1 Grow with Me Baby Bouncer
46,,US,537,,,Ingenuity 3D Mini Convenience Stroller,,,21-50 High,,2025-07-11,Ingenuity 3D Mini Convenience Stroller
47,44,US,537,,,Enfamil Infant Formula with Iron,Enfamil,33-36 USD,21-50 High,21-50 High,2025-07-11,Enfamil Infant Formula with Iron
48,14,US,537,,,Evenflo Balance Wide Neck Baby Bottles,Evenflo,6-44 USD,21-50 High,21-50 High,2025-07-11,Evenflo Balance Wide Neck Baby Bottles
49,50,US,537,,,A+D Original Ointment Diaper Rash,Bayer,5-28 USD,21-50 High,21-50 High,2025-07-11,A+D Original Ointment Diaper Rash
50,27,US,537,,,Similac 360 Total Care Ready-to-Feed Baby Formula,Similac,16-19 USD,21-50 High,21-50 High,2025-07-11,Similac 360 Total Care Ready-to-Feed Baby Formula
51,51,US,537,,,Calmoseptine Ointment,Calmoseptine,8-55 USD,21-50 High,21-50 High,2025-07-11,Calmoseptine Ointment
52,45,US,537,,,Graco Simple Sway Swing,Graco,139-174 USD,21-50 High,21-50 High,2025-07-11,Graco Simple Sway Swing
53,309,US,537,,,Evenflo Gold Revolve360 Extend All-in-One Rotational Car Seat with SensorSafe,Evenflo,344-530 USD,21-50 High,6-10 Low,2025-07-11,Evenflo Gold Revolve360 Extend All-in-One Rotational Car Seat with SensorSafe
54,41,US,537,,,Love To Dream Original Swaddle Up,Love to Dream,30-35 USD,21-50 High,21-50 High,2025-07-11,Love To Dream Original Swaddle Up
55,54,US,537,,,Enfamil NeuroPro Gentlease Infant Formula Ready to Use,Enfamil,10-13 USD,21-50 High,21-50 High,2025-07-11,Enfamil NeuroPro Gentlease Infant Formula Ready to Use
56,191,US,537,,,Gerber Baby Rice Cereal,Gerber,6-7 USD,11-20 Medium,6-10 Low,2025-07-11,Gerber Baby Rice Cereal
57,56,US,537,,,NoseFrida The Snotsucker,Fridababy,15-21 USD,11-20 Medium,21-50 High,2025-07-11,NoseFrida The Snotsucker
58,57,US,537,,,Enfamil NeuroPro Gentlease Powder Baby Formula,Enfamil,52-52 USD,11-20 Medium,21-50 High,2025-07-11,Enfamil NeuroPro Gentlease Powder Baby Formula
59,58,US,537,,,Pack 'N Play On The Go Playard,Graco,70-70 USD,11-20 Medium,21-50 High,2025-07-11,Pack 'N Play On The Go Playard
60,90,US,537,,,Jeep Wrangler Stroller Wagon,Jeep,256-320 USD,11-20 Medium,11-20 Medium,2025-07-11,Jeep Wrangler Stroller Wagon
61,72,US,537,,,Pampers Easy Ups Training,Pampers,10-47 USD,11-20 Medium,11-20 Medium,2025-07-11,Pampers Easy Ups Training
62,20,US,537,,,Evenflo Shyft Intuiti+ Travel System featuring Revolve180 LiteMax NXT with SensorySoothe,Evenflo,477-780 USD,11-20 Medium,21-50 High,2025-07-11,Evenflo Shyft Intuiti+ Travel System featuring Revolve180 LiteMax NXT with SensorySoothe
63,73,US,537,,,4moms MamaRoo Multi-Motion Baby Swing,4moms,230-300 USD,11-20 Medium,11-20 Medium,2025-07-11,4moms MamaRoo Multi-Motion Baby Swing
64,55,US,537,,,Enfamil NeuroPro Infant Formula,Enfamil,37-40 USD,11-20 Medium,21-50 High,2025-07-11,Enfamil NeuroPro Infant Formula
65,67,US,537,,,Evenflo GoTime LX Booster Car Seat,Evenflo,36-45 USD,11-20 Medium,11-20 Medium,2025-07-11,Evenflo GoTime LX Booster Car Seat
66,69,US,537,,,A+D Overnight Healing Rash Ointment,Bayer,7-9 USD,11-20 Medium,11-20 Medium,2025-07-11,A+D Overnight Healing Rash Ointment
67,,US,537,,,Pampers Easy Ups Boys Training Underwear,Pampers,,11-20 Medium,,2025-07-11,Pampers Easy Ups Boys Training Underwear
68,62,US,537,,,Similac Alimentum Infant Formula Powder,Similac,39-207 USD,11-20 Medium,21-50 High,2025-07-11,Similac Alimentum Infant Formula Powder
69,202,US,537,,,Chicco Fit360 ClearTex Rotating Convertible Car Seat,Chicco,180-440 USD,11-20 Medium,6-10 Low,2025-07-11,Chicco Fit360 ClearTex Rotating Convertible Car Seat
70,66,US,537,,,Spectra S2 Plus Double Electric Breast Pump,Spectra,173-173 USD,11-20 Medium,11-20 Medium,2025-07-11,Spectra S2 Plus Double Electric Breast Pump
71,64,US,537,,,Rascals Premium Diapers,Rascal+Friends,8-51 USD,11-20 Medium,21-50 High,2025-07-11,Rascals Premium Diapers
72,2988,US,537,,,Cosco Umbrella Stroller with Canopy,Cosco,31-31 USD,11-20 Medium,0-5 Very low,2025-07-11,Cosco Umbrella Stroller with Canopy
73,80,US,537,,,Similac 360 Total Care Sensitive Infant Formula Powder,Similac,40-50 USD,11-20 Medium,11-20 Medium,2025-07-11,Similac 360 Total Care Sensitive Infant Formula Powder
74,86,US,537,,,Parasol Clear+Dry Disposable Diapers RashShield Protection,Parasol Co,5-96 USD,11-20 Medium,11-20 Medium,2025-07-11,Parasol Clear+Dry Disposable Diapers RashShield Protection
75,78,US,537,,,Enfamil Enspire Infant Formula,Enfamil,47-47 USD,11-20 Medium,11-20 Medium,2025-07-11,Enfamil Enspire Infant Formula
76,110,US,537,,,Graco Turn2Me 3-in-1 Car Seat,Graco,280-370 USD,11-20 Medium,11-20 Medium,2025-07-11,Graco Turn2Me 3-in-1 Car Seat
77,12,US,537,,,Evenflo Shyft DualRide Carryall Storage Infant Car Seat Stroller Combo,Evenflo,389-680 USD,11-20 Medium,21-50 High,2025-07-11,Evenflo Shyft DualRide Carryall Storage Infant Car Seat Stroller Combo
78,677,US,537,,,Nuna PIPA Aire RX Infant Car Seat + RELX Base,Nuna,500-550 USD,11-20 Medium,0-5 Very low,2025-07-11,Nuna PIPA Aire RX Infant Car Seat + RELX Base
79,89,US,537,,,Parent's Choice Dry & Gentle Diapers,Parents Choice,5-28 USD,11-20 Medium,11-20 Medium,2025-07-11,Parent's Choice Dry & Gentle Diapers
80,264,US,537,,,WAYB Pico Car Seat,WAYB,382-449 USD,11-20 Medium,6-10 Low,2025-07-11,WAYB Pico Car Seat
81,100,US,537,,,Mockingbird Single-To-Double Stroller 2.0,Mockingbird,549-599 USD,11-20 Medium,11-20 Medium,2025-07-11,Mockingbird Single-To-Double Stroller 2.0
82,102,US,537,,,Baby Trend Sit N Stand Ultra Stroller,Baby Trend,140-180 USD,11-20 Medium,11-20 Medium,2025-07-11,Baby Trend Sit N Stand Ultra Stroller
83,75,US,537,,,Earth's Best Organic Whole Grain Oatmeal Cereal,Earth's Best,4-6 USD,11-20 Medium,11-20 Medium,2025-07-11,Earth's Best Organic Whole Grain Oatmeal Cereal
84,71,US,537,,,Fisher-Price Jumping Jungle Jumperoo Baby Jumper with Lights and Sound,Fisher-Price,108-108 USD,11-20 Medium,11-20 Medium,2025-07-11,Fisher-Price Jumping Jungle Jumperoo Baby Jumper with Lights and Sound
85,83,US,537,,,Gerber Cereal Oatmeal,Gerber,3-7 USD,11-20 Medium,11-20 Medium,2025-07-11,Gerber Cereal Oatmeal
86,96,US,537,,,Kolcraft Cloud Umbrella Stroller,Kolcraft,40-40 USD,11-20 Medium,11-20 Medium,2025-07-11,Kolcraft Cloud Umbrella Stroller
87,114,US,537,,,PediaSure Grow & Gain,Abbott,13-45 USD,11-20 Medium,11-20 Medium,2025-07-11,PediaSure Grow & Gain
88,103,US,537,,,PediaSure Grow & Gain Kids' Nutritional Shake Chocolate,Abbott,13-15 USD,11-20 Medium,11-20 Medium,2025-07-11,PediaSure Grow & Gain Kids' Nutritional Shake Chocolate
89,82,US,537,,,Enfamil NeuroPro Infant Formula Ready to Use,Enfamil,10-15 USD,11-20 Medium,11-20 Medium,2025-07-11,Enfamil NeuroPro Infant Formula Ready to Use
90,88,US,537,,,Happy Baby Organic Infant Formula Stage 1,Happy Family,36-39 USD,11-20 Medium,11-20 Medium,2025-07-11,Happy Baby Organic Infant Formula Stage 1
91,79,US,537,,,Regalo Retractable Safety Gate,Regalo,30-35 USD,11-20 Medium,11-20 Medium,2025-07-11,Regalo Retractable Safety Gate
92,129,US,537,,,Graco SlimFit 3-in-1 Car Seat,Graco,165-220 USD,11-20 Medium,11-20 Medium,2025-07-11,Graco SlimFit 3-in-1 Car Seat
93,125,US,537,,,WaterWipes Original Water Based Baby Wipes,WaterWipes,5-68 USD,11-20 Medium,11-20 Medium,2025-07-11,WaterWipes Original Water Based Baby Wipes
94,,US,537,,,Owlet Dream Sock Smart Baby Monitor,Owlet,120-349 USD,11-20 Medium,,2025-07-11,Owlet Dream Sock Smart Baby Monitor
95,175,US,537,,,Pampers Aqua Pure Baby Wipes,Pampers,4-46 USD,11-20 Medium,6-10 Low,2025-07-11,Pampers Aqua Pure Baby Wipes
96,37,US,537,,,Evenflo Balance + Neck,Evenflo,5-20 USD,11-20 Medium,21-50 High,2025-07-11,Evenflo Balance + Neck
97,138,US,537,,,Graco Ready2Jet Compact Stroller,Graco,119-190 USD,11-20 Medium,11-20 Medium,2025-07-11,Graco Ready2Jet Compact Stroller
98,,US,537,,,Graco Modes Nest Travel System,Graco,,11-20 Medium,,2025-07-11,Graco Modes Nest Travel System
99,94,US,537,,,Bright Starts Activity Jumper Disney Baby Finding Nemo Sea of Activities,Disney,140-146 USD,11-20 Medium,11-20 Medium,2025-07-11,Bright Starts Activity Jumper Disney Baby Finding Nemo Sea of Activities
100,99,US,537,,,Wildbird Aerial Buckle Wrap,WildBird,84-84 USD,11-20 Medium,11-20 Medium,2025-07-11,Wildbird Aerial Buckle Wrap
101,92,US,537,,,Enfamil Gentlease Powder Infant Formula,Enfamil,24-25 USD,11-20 Medium,11-20 Medium,2025-07-11,Enfamil Gentlease Powder Infant Formula
102,87,US,537,,,Graco Slim Spaces Compact Baby Swing,Graco,109-110 USD,11-20 Medium,11-20 Medium,2025-07-11,Graco Slim Spaces Compact Baby Swing
103,25,US,537,,,Chicco Liteway Stroller,Chicco,100-110 USD,11-20 Medium,21-50 High,2025-07-11,Chicco Liteway Stroller
104,145,US,537,,,Cosco Kids Rise LX Booster Car Seat,Cosco,20-20 USD,11-20 Medium,11-20 Medium,2025-07-11,Cosco Kids Rise LX Booster Car Seat
105,109,US,537,,,Enfamil Enfagrow Premium Toddler Nutritional Drink,Enfagrow,30-32 USD,11-20 Medium,11-20 Medium,2025-07-11,Enfamil Enfagrow Premium Toddler Nutritional Drink
106,122,US,537,,,Bubs Infant Formula with Iron Goat Milk Powder 0,Aussie Bubs,29-35 USD,11-20 Medium,11-20 Medium,2025-07-11,Bubs Infant Formula with Iron Goat Milk Powder 0
107,105,US,537,,,Enfamil A.R. Infant Formula Powder,Enfamil,27-30 USD,11-20 Medium,11-20 Medium,2025-07-11,Enfamil A.R. Infant Formula Powder
108,120,US,537,,,Parent's Choice Standard Wall Safety Gate,,15-15 USD,11-20 Medium,11-20 Medium,2025-07-11,Parent's Choice Standard Wall Safety Gate
109,108,US,537,,,Frida Baby 4-in-1 Grow-With-Me Bath Tub,,34-50 USD,11-20 Medium,11-20 Medium,2025-07-11,Frida Baby 4-in-1 Grow-With-Me Bath Tub
110,527,US,537,,,Maxi-Cosi Wheeled Car Seat Travel Pack,Maxi-Cosi,96-120 USD,11-20 Medium,0-5 Very low,2025-07-11,Maxi-Cosi Wheeled Car Seat Travel Pack
111,124,US,537,,,Enfamil Enspire Gentlease Baby Formula,Enfamil,52-52 USD,11-20 Medium,11-20 Medium,2025-07-11,Enfamil Enspire Gentlease Baby Formula
112,128,US,537,,,Cybex Callisto G 360 Rotating All-in-One Car Seat,CYBEX,750-750 USD,11-20 Medium,11-20 Medium,2025-07-11,Cybex Callisto G 360 Rotating All-in-One Car Seat
113,,US,537,,,Graco Extend2Fit LX 3-in-1 Convertible Car Seat,Graco,,11-20 Medium,,2025-07-11,Graco Extend2Fit LX 3-in-1 Convertible Car Seat
114,,US,537,,,Baby Delight Highland Organic Portable Baby Bouncer,Baby Delight,,11-20 Medium,,2025-07-11,Baby Delight Highland Organic Portable Baby Bouncer
115,104,US,537,,,Pampers Fresh Scented Clean Baby Wipes,Pampers,7-8 USD,11-20 Medium,11-20 Medium,2025-07-11,Pampers Fresh Scented Clean Baby Wipes
116,98,US,537,,,CVS Skin Protectant Ointment,CVS,4-4 USD,11-20 Medium,11-20 Medium,2025-07-11,CVS Skin Protectant Ointment
117,91,US,537,,,Medela Harmony Flex Manual Breast Pump With Flex Breast Shield,Medela,29-29 USD,11-20 Medium,11-20 Medium,2025-07-11,Medela Harmony Flex Manual Breast Pump With Flex Breast Shield
118,97,US,537,,,Jeep PowerGlyde Stroller by Delta Children,Delta Children,68-80 USD,11-20 Medium,11-20 Medium,2025-07-11,Jeep PowerGlyde Stroller by Delta Children
119,192,US,537,,,Graco Ready2Grow 2.0 Double Stroller,Graco,299-300 USD,11-20 Medium,6-10 Low,2025-07-11,Graco Ready2Grow 2.0 Double Stroller
120,236,US,537,,,Maxi-Cosi Luxe 5-in-1 Modular Travel System,Maxi-Cosi,440-550 USD,11-20 Medium,6-10 Low,2025-07-11,Maxi-Cosi Luxe 5-in-1 Modular Travel System
121,149,US,537,,,Mamas Teether: Teething Roller,,20-25 USD,11-20 Medium,11-20 Medium,2025-07-11,Mamas Teether: Teething Roller
122,111,US,537,,,Similac Total Comfort Powder Infant Formula,Similac,22-23 USD,11-20 Medium,11-20 Medium,2025-07-11,Similac Total Comfort Powder Infant Formula
123,569,US,537,,,Graco EasyTurn 360 2 in 1 Convertible Car Seat,Graco,264-330 USD,11-20 Medium,0-5 Very low,2025-07-11,Graco EasyTurn 360 2 in 1 Convertible Car Seat
124,115,US,537,,,Kendamil 6+ Months Creamy Oatmeal Baby Food,Earth's Best,5-5 USD,11-20 Medium,11-20 Medium,2025-07-11,Kendamil 6+ Months Creamy Oatmeal Baby Food
125,93,US,537,,,"Pack 'N Play Care Suite Playard, Birch",Graco,150-150 USD,11-20 Medium,11-20 Medium,2025-07-11,"Pack 'N Play Care Suite Playard, Birch"
126,245,US,537,,,Doona Infant Car Seat & Stroller,Doona,116-600 USD,11-20 Medium,6-10 Low,2025-07-11,Doona Infant Car Seat & Stroller
127,77,US,537,,,Graco Modes Pramette Travel System,Graco,250-360 USD,11-20 Medium,11-20 Medium,2025-07-11,Graco Modes Pramette Travel System
128,84,US,537,,,Bobbie Cans Grass-Fed Whole Milk Infant Formula,Bobbie,23-230 USD,11-20 Medium,11-20 Medium,2025-07-11,Bobbie Cans Grass-Fed Whole Milk Infant Formula
129,167,US,537,,,Evenflo NurtureMax Infant Car Seat,Evenflo,60-75 USD,11-20 Medium,6-10 Low,2025-07-11,Evenflo NurtureMax Infant Car Seat
130,476,US,537,,,Skip Hop Moby Smart Sling 3-Stage Tub,Skip Hop,40-40 USD,11-20 Medium,0-5 Very low,2025-07-11,Skip Hop Moby Smart Sling 3-Stage Tub
131,180,US,537,,,Graco 3-in-1 TrioGrow SnugLock Car Seat,Graco,179-179 USD,11-20 Medium,6-10 Low,2025-07-11,Graco 3-in-1 TrioGrow SnugLock Car Seat
132,126,US,537,,,Regalo Wall Safe Extra Wide Safety Gate,Regalo,50-50 USD,11-20 Medium,11-20 Medium,2025-07-11,Regalo Wall Safe Extra Wide Safety Gate
133,132,US,537,,,Lovevery The Play Gym,Lovevery,140-151 USD,11-20 Medium,11-20 Medium,2025-07-11,Lovevery The Play Gym
134,144,US,537,,,Philips Avent Soothie Pacifier,Avent,5-14 USD,11-20 Medium,11-20 Medium,2025-07-11,Philips Avent Soothie Pacifier
135,95,US,537,,,green sprouts Baby Eco Pull-Up Printed Reusable Swim Diaper,Green Sprouts,9-12 USD,11-20 Medium,11-20 Medium,2025-07-11,green sprouts Baby Eco Pull-Up Printed Reusable Swim Diaper
136,172,US,537,,,Similac Pro-Total Comfort Infant Formula,Similac,36-45 USD,11-20 Medium,6-10 Low,2025-07-11,Similac Pro-Total Comfort Infant Formula
137,369,US,537,,,Graco SlimFit3 LX 3-in-1 Car Seat,Graco,224-280 USD,11-20 Medium,0-5 Very low,2025-07-11,Graco SlimFit3 LX 3-in-1 Car Seat
138,131,US,537,,,Baby Trend Expedition Plus Jogger with LED Safety Light,Baby Trend,160-160 USD,11-20 Medium,11-20 Medium,2025-07-11,Baby Trend Expedition Plus Jogger with LED Safety Light
139,185,US,537,,,Evenflo Omni Plus Modular Travel System with LiteMax Sport Rear-Facing Infant Car Seat,Evenflo,199-229 USD,11-20 Medium,6-10 Low,2025-07-11,Evenflo Omni Plus Modular Travel System with LiteMax Sport Rear-Facing Infant Car Seat
140,169,US,537,,,Lovevery The Looker Play Kit,Lovevery,80-80 USD,11-20 Medium,6-10 Low,2025-07-11,Lovevery The Looker Play Kit
141,289,US,537,,,PediaSure Sidekicks Shake,Abbott,13-15 USD,11-20 Medium,6-10 Low,2025-07-11,PediaSure Sidekicks Shake
142,127,US,537,,,Ergobaby Omni 360 Baby Carrier,Ergobaby,135-180 USD,11-20 Medium,11-20 Medium,2025-07-11,Ergobaby Omni 360 Baby Carrier
143,173,US,537,,,Pampers Diapers Swaddlers,Pampers,29-45 USD,11-20 Medium,6-10 Low,2025-07-11,Pampers Diapers Swaddlers
144,150,US,537,,,Ingenuity Tuckaway Toddler Tub Converts Shower to Tub,,35-35 USD,11-20 Medium,11-20 Medium,2025-07-11,Ingenuity Tuckaway Toddler Tub Converts Shower to Tub
145,137,US,537,,,Infantino My 1st Tumbler,The Mom Store,5-9 USD,11-20 Medium,11-20 Medium,2025-07-11,Infantino My 1st Tumbler
146,182,US,537,,,Bright Starts Vibrating Bouncer,Bright Starts,30-30 USD,11-20 Medium,6-10 Low,2025-07-11,Bright Starts Vibrating Bouncer
147,189,US,537,,,"Kids Daily Greens + Superfoods | Greens Powder For Toddlers & Children 2+ With Vitamins and Minerals | Chocolate Taste | Sugar-Free, Lactose Free | ",Hiya,29-29 USD,11-20 Medium,6-10 Low,2025-07-11,"Kids Daily Greens + Superfoods | Greens Powder For Toddlers & Children 2+ With Vitamins and Minerals | Chocolate Taste | Sugar-Free, Lactose Free | "
148,183,US,537,,,Similac 360 Total Care Infant Formula Powder,Similac,40-200 USD,11-20 Medium,6-10 Low,2025-07-11,Similac 360 Total Care Infant Formula Powder
149,179,US,537,,,EU,Momcozy,300-300 USD,6-10 Low,6-10 Low,2025-07-11,EU
150,34,US,537,,,Baby Trend Lil Snooze Deluxe II Nursery Center,Baby Trend,100-110 USD,6-10 Low,21-50 High,2025-07-11,Baby Trend Lil Snooze Deluxe II Nursery Center
151,162,US,537,,,Luvs Platinum Protection Baby Diapers,Luvs,8-47 USD,6-10 Low,6-10 Low,2025-07-11,Luvs Platinum Protection Baby Diapers
152,255,US,537,,,Chicco KidFit ClearTex Plus 2-in-1 Belt Positioning Booster Car Seat,Chicco,85-220 USD,6-10 Low,6-10 Low,2025-07-11,Chicco KidFit ClearTex Plus 2-in-1 Belt Positioning Booster Car Seat
153,123,US,537,,,Chicco GoFit Plus Backless Booster Car Seat,Chicco,65-65 USD,6-10 Low,11-20 Medium,2025-07-11,Chicco GoFit Plus Backless Booster Car Seat
154,168,US,537,,,Graco GoMax Travel System,Graco,350-450 USD,6-10 Low,6-10 Low,2025-07-11,Graco GoMax Travel System
155,365,US,537,,,Safety 1st Grand 2-in-1 Booster Car Seat,Safety 1st,64-92 USD,6-10 Low,6-10 Low,2025-07-11,Safety 1st Grand 2-in-1 Booster Car Seat
156,153,US,537,,,Huggies Overnites Baby Diapers Size,Huggies,15-53 USD,6-10 Low,11-20 Medium,2025-07-11,Huggies Overnites Baby Diapers Size
157,133,US,537,,,Frisco Steel 8-Panel Configurable Dog Gate and Playpen,,80-80 USD,6-10 Low,11-20 Medium,2025-07-11,Frisco Steel 8-Panel Configurable Dog Gate and Playpen
158,130,US,537,,,"Perma Child Safety 71"" Wide x 33"" Tall Retractable Baby Gate",Perma Child Safety,36-40 USD,6-10 Low,11-20 Medium,2025-07-11,"Perma Child Safety 71"" Wide x 33"" Tall Retractable Baby Gate"
